"x","y","min_dist"
0.361666666666667,-0.105,0
0.365,-0.105,0
0.368333333333333,-0.105,0
0.371666666666667,-0.105,0
0.375,-0.105,0
0.378333333333333,-0.105,0
0.381666666666667,-0.105,0
0.385,-0.105,0
0.388333333333333,-0.105,0
0.391666666666667,-0.105,0
0.395,-0.105,0
0.398333333333333,-0.105,0
0.401666666666667,-0.105,0
0.405,-0.105,0
0.408333333333333,-0.105,0
0.411666666666667,-0.105,0
0.415,-0.105,0
0.418333333333333,-0.105,0
0.421666666666667,-0.105,0
0.425,-0.105,0
0.428333333333333,-0.105,0
0.431666666666667,-0.105,0
0.435,-0.105,0
0.438333333333333,-0.105,0
0.441666666666667,-0.105,0
0.445,-0.105,0
0.448333333333333,-0.105,0
0.451666666666667,-0.105,0
0.455,-0.105,0
0.458333333333333,-0.105,0
0.461666666666667,-0.105,0
0.465,-0.105,0
0.468333333333333,-0.105,0
0.471666666666667,-0.105,0
0.475,-0.105,0
0.478333333333333,-0.105,0
0.481666666666667,-0.105,0
0.485,-0.105,0
0.488333333333333,-0.105,0
0.491666666666667,-0.105,0
0.495,-0.105,0
0.498333333333333,-0.105,0
0.501666666666667,-0.105,0
0.505,-0.105,0
0.508333333333333,-0.105,0
0.511666666666667,-0.105,0
-0.508333333333333,-0.108333333333333,0
-0.505,-0.108333333333333,0
-0.501666666666667,-0.108333333333333,0
-0.498333333333333,-0.108333333333333,0
-0.495,-0.108333333333333,0
-0.491666666666667,-0.108333333333333,0
-0.488333333333333,-0.108333333333333,0
-0.485,-0.108333333333333,0
-0.481666666666667,-0.108333333333333,0
-0.478333333333333,-0.108333333333333,0
-0.475,-0.108333333333333,0
-0.471666666666667,-0.108333333333333,0
-0.468333333333333,-0.108333333333333,0
-0.465,-0.108333333333333,0
-0.461666666666667,-0.108333333333333,0
-0.458333333333333,-0.108333333333333,0
-0.455,-0.108333333333333,0
-0.451666666666667,-0.108333333333333,0
-0.448333333333333,-0.108333333333333,0
-0.445,-0.108333333333333,0
-0.441666666666667,-0.108333333333333,0
-0.438333333333333,-0.108333333333333,0
-0.435,-0.108333333333333,0
-0.431666666666667,-0.108333333333333,0
-0.428333333333333,-0.108333333333333,0
-0.425,-0.108333333333333,0
-0.421666666666667,-0.108333333333333,0
-0.418333333333333,-0.108333333333333,0
-0.415,-0.108333333333333,0
-0.411666666666667,-0.108333333333333,0
-0.408333333333333,-0.108333333333333,0
-0.405,-0.108333333333333,0
-0.401666666666667,-0.108333333333333,0
-0.398333333333333,-0.108333333333333,0
-0.395,-0.108333333333333,0
-0.391666666666667,-0.108333333333333,0
-0.388333333333333,-0.108333333333333,0
-0.385,-0.108333333333333,0
-0.381666666666667,-0.108333333333333,0
-0.378333333333333,-0.108333333333333,0
-0.375,-0.108333333333333,0
-0.371666666666667,-0.108333333333333,0
-0.368333333333333,-0.108333333333333,0
-0.365,-0.108333333333333,0
-0.361666666666667,-0.108333333333333,0
-0.358333333333333,-0.108333333333333,0
-0.355,-0.108333333333333,0
-0.351666666666667,-0.108333333333333,0
-0.348333333333333,-0.108333333333333,0
-0.345,-0.108333333333333,0
-0.341666666666667,-0.108333333333333,0
-0.338333333333333,-0.108333333333333,0
-0.335,-0.108333333333333,0
-0.331666666666667,-0.108333333333333,0
-0.328333333333333,-0.108333333333333,0
-0.325,-0.108333333333333,0
-0.321666666666667,-0.108333333333333,0
-0.318333333333333,-0.108333333333333,0
-0.315,-0.108333333333333,0
-0.311666666666667,-0.108333333333333,0
-0.308333333333333,-0.108333333333333,0
-0.305,-0.108333333333333,0
-0.301666666666667,-0.108333333333333,0
-0.298333333333333,-0.108333333333333,0
-0.295,-0.108333333333333,0
-0.291666666666667,-0.108333333333333,0
-0.288333333333333,-0.108333333333333,0
-0.285,-0.108333333333333,0
-0.281666666666667,-0.108333333333333,0
-0.278333333333333,-0.108333333333333,0
-0.275,-0.108333333333333,0
-0.271666666666667,-0.108333333333333,0
-0.268333333333333,-0.108333333333333,0
-0.265,-0.108333333333333,0
-0.261666666666667,-0.108333333333333,0
-0.258333333333333,-0.108333333333333,0
-0.255,-0.108333333333333,0
-0.251666666666667,-0.108333333333333,0
-0.248333333333333,-0.108333333333333,0
-0.245,-0.108333333333333,0
-0.241666666666667,-0.108333333333333,0
-0.238333333333333,-0.108333333333333,0
-0.235,-0.108333333333333,0
-0.231666666666667,-0.108333333333333,0
-0.228333333333333,-0.108333333333333,0
-0.225,-0.108333333333333,0
-0.221666666666667,-0.108333333333333,0
-0.218333333333333,-0.108333333333333,0
-0.215,-0.108333333333333,0
-0.211666666666667,-0.108333333333333,0
-0.208333333333333,-0.108333333333333,0
-0.205,-0.108333333333333,0
-0.201666666666667,-0.108333333333333,0
-0.198333333333333,-0.108333333333333,0
-0.195,-0.108333333333333,0
-0.191666666666667,-0.108333333333333,0
-0.188333333333333,-0.108333333333333,0
-0.185,-0.108333333333333,0
-0.181666666666667,-0.108333333333333,0
-0.178333333333333,-0.108333333333333,0
-0.175,-0.108333333333333,0
-0.171666666666667,-0.108333333333333,0
-0.168333333333333,-0.108333333333333,0
-0.165,-0.108333333333333,0
-0.161666666666667,-0.108333333333333,0
-0.158333333333333,-0.108333333333333,0
-0.155,-0.108333333333333,0
-0.151666666666667,-0.108333333333333,0
-0.148333333333333,-0.108333333333333,0
-0.145,-0.108333333333333,0
-0.141666666666667,-0.108333333333333,0
-0.138333333333333,-0.108333333333333,0
-0.135,-0.108333333333333,0
-0.131666666666667,-0.108333333333333,0
-0.128333333333333,-0.108333333333333,0
-0.125,-0.108333333333333,0
-0.121666666666667,-0.108333333333333,0
-0.118333333333333,-0.108333333333333,0
-0.115,-0.108333333333333,0
-0.111666666666667,-0.108333333333333,0
-0.108333333333333,-0.108333333333333,0
-0.105,-0.108333333333333,0
-0.101666666666667,-0.108333333333333,0
-0.0983333333333333,-0.108333333333333,0
-0.095,-0.108333333333333,0
-0.0916666666666667,-0.108333333333333,0
-0.0883333333333333,-0.108333333333333,0
-0.085,-0.108333333333333,0
-0.0816666666666667,-0.108333333333333,0
-0.0783333333333333,-0.108333333333333,0
-0.075,-0.108333333333333,0
-0.0716666666666667,-0.108333333333333,0
-0.0683333333333333,-0.108333333333333,0
-0.065,-0.108333333333333,0
-0.0616666666666667,-0.108333333333333,0
-0.0583333333333333,-0.108333333333333,0
-0.055,-0.108333333333333,0
-0.0516666666666667,-0.108333333333333,0
-0.0483333333333333,-0.108333333333333,0
-0.045,-0.108333333333333,0
-0.0416666666666667,-0.108333333333333,0
-0.0383333333333333,-0.108333333333333,0
-0.035,-0.108333333333333,0
-0.0316666666666667,-0.108333333333333,0
-0.0283333333333333,-0.108333333333333,0
-0.025,-0.108333333333333,0
-0.0216666666666667,-0.108333333333333,0
-0.0183333333333333,-0.108333333333333,0
-0.015,-0.108333333333333,0
-0.0116666666666667,-0.108333333333333,0
-0.00833333333333333,-0.108333333333333,0
-0.005,-0.108333333333333,0
-0.00166666666666667,-0.108333333333333,0
0.00166666666666667,-0.108333333333333,0
0.005,-0.108333333333333,0
0.00833333333333333,-0.108333333333333,0
0.0116666666666667,-0.108333333333333,0
0.015,-0.108333333333333,0
0.0183333333333333,-0.108333333333333,0
0.0216666666666667,-0.108333333333333,0
0.025,-0.108333333333333,0
0.0283333333333333,-0.108333333333333,0
0.0316666666666667,-0.108333333333333,0
0.035,-0.108333333333333,0
0.0383333333333333,-0.108333333333333,0
0.0416666666666667,-0.108333333333333,0
0.045,-0.108333333333333,0
0.0483333333333333,-0.108333333333333,0
0.0516666666666667,-0.108333333333333,0
0.055,-0.108333333333333,0
0.0583333333333333,-0.108333333333333,0
0.0616666666666667,-0.108333333333333,0
0.065,-0.108333333333333,0
0.0683333333333333,-0.108333333333333,0
0.0716666666666667,-0.108333333333333,0
0.075,-0.108333333333333,0
0.0783333333333333,-0.108333333333333,0
0.0816666666666667,-0.108333333333333,0
0.085,-0.108333333333333,0
0.0883333333333333,-0.108333333333333,0
0.0916666666666667,-0.108333333333333,0
0.095,-0.108333333333333,0
0.0983333333333333,-0.108333333333333,0
0.101666666666667,-0.108333333333333,0
0.105,-0.108333333333333,0
0.108333333333333,-0.108333333333333,0
0.111666666666667,-0.108333333333333,0
0.115,-0.108333333333333,0
0.118333333333333,-0.108333333333333,0
0.121666666666667,-0.108333333333333,0
0.125,-0.108333333333333,0
0.128333333333333,-0.108333333333333,0
0.131666666666667,-0.108333333333333,0
0.135,-0.108333333333333,0
0.138333333333333,-0.108333333333333,0
0.141666666666667,-0.108333333333333,0
0.145,-0.108333333333333,0
0.148333333333333,-0.108333333333333,0
0.151666666666667,-0.108333333333333,0
0.155,-0.108333333333333,0
0.158333333333333,-0.108333333333333,0
0.161666666666667,-0.108333333333333,0
0.165,-0.108333333333333,0
0.168333333333333,-0.108333333333333,0
0.171666666666667,-0.108333333333333,0
0.175,-0.108333333333333,0
0.178333333333333,-0.108333333333333,0
0.181666666666667,-0.108333333333333,0
0.185,-0.108333333333333,0
0.188333333333333,-0.108333333333333,0
0.191666666666667,-0.108333333333333,0
0.195,-0.108333333333333,0
0.198333333333333,-0.108333333333333,0
0.201666666666667,-0.108333333333333,0
0.205,-0.108333333333333,0
0.208333333333333,-0.108333333333333,0
0.211666666666667,-0.108333333333333,0
0.215,-0.108333333333333,0
0.218333333333333,-0.108333333333333,0
0.221666666666667,-0.108333333333333,0
0.225,-0.108333333333333,0
0.228333333333333,-0.108333333333333,0
0.231666666666667,-0.108333333333333,0
0.235,-0.108333333333333,0
0.238333333333333,-0.108333333333333,0
0.241666666666667,-0.108333333333333,0
0.245,-0.108333333333333,0
0.248333333333333,-0.108333333333333,0
0.251666666666667,-0.108333333333333,0
0.255,-0.108333333333333,0
0.258333333333333,-0.108333333333333,0
0.261666666666667,-0.108333333333333,0
0.265,-0.108333333333333,0
0.268333333333333,-0.108333333333333,0
0.271666666666667,-0.108333333333333,0
0.275,-0.108333333333333,0
0.278333333333333,-0.108333333333333,0
0.281666666666667,-0.108333333333333,0
0.285,-0.108333333333333,0
0.288333333333333,-0.108333333333333,0
0.291666666666667,-0.108333333333333,0
0.295,-0.108333333333333,0
0.298333333333333,-0.108333333333333,0
0.301666666666667,-0.108333333333333,0
0.305,-0.108333333333333,0
0.308333333333333,-0.108333333333333,0
0.311666666666667,-0.108333333333333,0
0.315,-0.108333333333333,0
0.318333333333333,-0.108333333333333,0
0.321666666666667,-0.108333333333333,0
0.325,-0.108333333333333,0
0.328333333333333,-0.108333333333333,0
0.331666666666667,-0.108333333333333,0
0.335,-0.108333333333333,0
0.338333333333333,-0.108333333333333,0
0.341666666666667,-0.108333333333333,0
0.345,-0.108333333333333,0
0.348333333333333,-0.108333333333333,0
0.351666666666667,-0.108333333333333,0
0.355,-0.108333333333333,0
0.358333333333333,-0.108333333333333,0
0.361666666666667,-0.108333333333333,0
0.365,-0.108333333333333,0
0.368333333333333,-0.108333333333333,0
0.371666666666667,-0.108333333333333,0
0.375,-0.108333333333333,0
0.378333333333333,-0.108333333333333,0
0.381666666666667,-0.108333333333333,0
0.385,-0.108333333333333,0
0.388333333333333,-0.108333333333333,0
0.391666666666667,-0.108333333333333,0
0.395,-0.108333333333333,0
0.398333333333333,-0.108333333333333,0
0.401666666666667,-0.108333333333333,0
0.405,-0.108333333333333,0
0.408333333333333,-0.108333333333333,0
0.411666666666667,-0.108333333333333,0
0.415,-0.108333333333333,0
0.418333333333333,-0.108333333333333,0
0.421666666666667,-0.108333333333333,0
0.425,-0.108333333333333,0
0.428333333333333,-0.108333333333333,0
0.431666666666667,-0.108333333333333,0
0.435,-0.108333333333333,0
0.438333333333333,-0.108333333333333,0
0.441666666666667,-0.108333333333333,0
0.445,-0.108333333333333,0
0.448333333333333,-0.108333333333333,0
0.451666666666667,-0.108333333333333,0
0.455,-0.108333333333333,0
0.458333333333333,-0.108333333333333,0
0.461666666666667,-0.108333333333333,0
0.465,-0.108333333333333,0
0.468333333333333,-0.108333333333333,0
0.471666666666667,-0.108333333333333,0
0.475,-0.108333333333333,0
0.478333333333333,-0.108333333333333,0
0.481666666666667,-0.108333333333333,0
0.485,-0.108333333333333,0
0.488333333333333,-0.108333333333333,0
0.491666666666667,-0.108333333333333,0
0.495,-0.108333333333333,0
0.498333333333333,-0.108333333333333,0
0.501666666666667,-0.108333333333333,0
0.505,-0.108333333333333,0
0.508333333333333,-0.108333333333333,0
0.511666666666667,-0.108333333333333,0
-0.508333333333333,-0.111666666666667,0
-0.505,-0.111666666666667,0
-0.501666666666667,-0.111666666666667,0
-0.498333333333333,-0.111666666666667,0
-0.495,-0.111666666666667,0
-0.491666666666667,-0.111666666666667,0
-0.488333333333333,-0.111666666666667,0
-0.485,-0.111666666666667,0
-0.481666666666667,-0.111666666666667,0
-0.478333333333333,-0.111666666666667,0
-0.475,-0.111666666666667,0
-0.471666666666667,-0.111666666666667,0
-0.468333333333333,-0.111666666666667,0
-0.465,-0.111666666666667,0
-0.461666666666667,-0.111666666666667,0
-0.458333333333333,-0.111666666666667,0
-0.455,-0.111666666666667,0
-0.451666666666667,-0.111666666666667,0
-0.448333333333333,-0.111666666666667,0
-0.445,-0.111666666666667,0
-0.441666666666667,-0.111666666666667,0
-0.438333333333333,-0.111666666666667,0
-0.435,-0.111666666666667,0
-0.431666666666667,-0.111666666666667,0
-0.428333333333333,-0.111666666666667,0
-0.425,-0.111666666666667,0
-0.421666666666667,-0.111666666666667,0
-0.418333333333333,-0.111666666666667,0
-0.415,-0.111666666666667,0
-0.411666666666667,-0.111666666666667,0
-0.408333333333333,-0.111666666666667,0
-0.405,-0.111666666666667,0
-0.401666666666667,-0.111666666666667,0
-0.398333333333333,-0.111666666666667,0
-0.395,-0.111666666666667,0
-0.391666666666667,-0.111666666666667,0
-0.388333333333333,-0.111666666666667,0
-0.385,-0.111666666666667,0
-0.381666666666667,-0.111666666666667,0
-0.378333333333333,-0.111666666666667,0
-0.375,-0.111666666666667,0
-0.371666666666667,-0.111666666666667,0
-0.368333333333333,-0.111666666666667,0
-0.365,-0.111666666666667,0
-0.361666666666667,-0.111666666666667,0
-0.358333333333333,-0.111666666666667,0
-0.355,-0.111666666666667,0
-0.351666666666667,-0.111666666666667,0
-0.348333333333333,-0.111666666666667,0
-0.345,-0.111666666666667,0
-0.341666666666667,-0.111666666666667,0
-0.338333333333333,-0.111666666666667,0
-0.335,-0.111666666666667,0
-0.331666666666667,-0.111666666666667,0
-0.328333333333333,-0.111666666666667,0
-0.325,-0.111666666666667,0
-0.321666666666667,-0.111666666666667,0
-0.318333333333333,-0.111666666666667,0
-0.315,-0.111666666666667,0
-0.311666666666667,-0.111666666666667,0
-0.308333333333333,-0.111666666666667,0
-0.305,-0.111666666666667,0
-0.301666666666667,-0.111666666666667,0
-0.298333333333333,-0.111666666666667,0
-0.295,-0.111666666666667,0
-0.291666666666667,-0.111666666666667,0
-0.288333333333333,-0.111666666666667,0
-0.285,-0.111666666666667,0
-0.281666666666667,-0.111666666666667,0
-0.278333333333333,-0.111666666666667,0
-0.275,-0.111666666666667,0
-0.271666666666667,-0.111666666666667,0
-0.268333333333333,-0.111666666666667,0
-0.265,-0.111666666666667,0
-0.261666666666667,-0.111666666666667,0
-0.258333333333333,-0.111666666666667,0
-0.255,-0.111666666666667,0
-0.251666666666667,-0.111666666666667,0
-0.248333333333333,-0.111666666666667,0
-0.245,-0.111666666666667,0
-0.241666666666667,-0.111666666666667,0
-0.238333333333333,-0.111666666666667,0
-0.235,-0.111666666666667,0
-0.231666666666667,-0.111666666666667,0
-0.228333333333333,-0.111666666666667,0
-0.225,-0.111666666666667,0
-0.221666666666667,-0.111666666666667,0
-0.218333333333333,-0.111666666666667,0
-0.215,-0.111666666666667,0
-0.211666666666667,-0.111666666666667,0
-0.208333333333333,-0.111666666666667,0
-0.205,-0.111666666666667,0
-0.201666666666667,-0.111666666666667,0
-0.198333333333333,-0.111666666666667,0
-0.195,-0.111666666666667,0
-0.191666666666667,-0.111666666666667,0
-0.188333333333333,-0.111666666666667,0
-0.185,-0.111666666666667,0
-0.181666666666667,-0.111666666666667,0
-0.178333333333333,-0.111666666666667,0
-0.175,-0.111666666666667,0
-0.171666666666667,-0.111666666666667,0
-0.168333333333333,-0.111666666666667,0
-0.165,-0.111666666666667,0
-0.161666666666667,-0.111666666666667,0
-0.158333333333333,-0.111666666666667,0
-0.155,-0.111666666666667,0
-0.151666666666667,-0.111666666666667,0
-0.148333333333333,-0.111666666666667,0
-0.145,-0.111666666666667,0
-0.141666666666667,-0.111666666666667,0
-0.138333333333333,-0.111666666666667,0
-0.135,-0.111666666666667,0
-0.131666666666667,-0.111666666666667,0
-0.128333333333333,-0.111666666666667,0
-0.125,-0.111666666666667,0
-0.121666666666667,-0.111666666666667,0
-0.118333333333333,-0.111666666666667,0
-0.115,-0.111666666666667,0
-0.111666666666667,-0.111666666666667,0
-0.108333333333333,-0.111666666666667,0
-0.105,-0.111666666666667,0
-0.101666666666667,-0.111666666666667,0
-0.0983333333333333,-0.111666666666667,0
-0.095,-0.111666666666667,0
-0.0916666666666667,-0.111666666666667,0
-0.0883333333333333,-0.111666666666667,0
-0.085,-0.111666666666667,0
-0.0816666666666667,-0.111666666666667,0
-0.0783333333333333,-0.111666666666667,0
-0.075,-0.111666666666667,0
-0.0716666666666667,-0.111666666666667,0
-0.0683333333333333,-0.111666666666667,0
-0.065,-0.111666666666667,0
-0.0616666666666667,-0.111666666666667,0
-0.0583333333333333,-0.111666666666667,0
-0.055,-0.111666666666667,0
-0.0516666666666667,-0.111666666666667,0
-0.0483333333333333,-0.111666666666667,0
-0.045,-0.111666666666667,0
-0.0416666666666667,-0.111666666666667,0
-0.0383333333333333,-0.111666666666667,0
-0.035,-0.111666666666667,0
-0.0316666666666667,-0.111666666666667,0
-0.0283333333333333,-0.111666666666667,0
-0.025,-0.111666666666667,0
-0.0216666666666667,-0.111666666666667,0
-0.0183333333333333,-0.111666666666667,0
-0.015,-0.111666666666667,0
-0.0116666666666667,-0.111666666666667,0
-0.00833333333333333,-0.111666666666667,0
-0.005,-0.111666666666667,0
-0.00166666666666667,-0.111666666666667,0
0.00166666666666667,-0.111666666666667,0
0.005,-0.111666666666667,0
0.00833333333333333,-0.111666666666667,0
0.0116666666666667,-0.111666666666667,0
0.015,-0.111666666666667,0
0.0183333333333333,-0.111666666666667,0
0.0216666666666667,-0.111666666666667,0
0.025,-0.111666666666667,0
0.0283333333333333,-0.111666666666667,0
0.0316666666666667,-0.111666666666667,0
0.035,-0.111666666666667,0
0.0383333333333333,-0.111666666666667,0
0.0416666666666667,-0.111666666666667,0
0.045,-0.111666666666667,0
0.0483333333333333,-0.111666666666667,0
0.0516666666666667,-0.111666666666667,0
0.055,-0.111666666666667,0
0.0583333333333333,-0.111666666666667,0
0.0616666666666667,-0.111666666666667,0
0.065,-0.111666666666667,0
0.0683333333333333,-0.111666666666667,0
0.0716666666666667,-0.111666666666667,0
0.075,-0.111666666666667,0
0.0783333333333333,-0.111666666666667,0
0.0816666666666667,-0.111666666666667,0
0.085,-0.111666666666667,0
0.0883333333333333,-0.111666666666667,0
0.0916666666666667,-0.111666666666667,0
0.095,-0.111666666666667,0
0.0983333333333333,-0.111666666666667,0
0.101666666666667,-0.111666666666667,0
0.105,-0.111666666666667,0
0.108333333333333,-0.111666666666667,0
0.111666666666667,-0.111666666666667,0
0.115,-0.111666666666667,0
0.118333333333333,-0.111666666666667,0
0.121666666666667,-0.111666666666667,0
0.125,-0.111666666666667,0
0.128333333333333,-0.111666666666667,0
0.131666666666667,-0.111666666666667,0
0.135,-0.111666666666667,0
0.138333333333333,-0.111666666666667,0
0.141666666666667,-0.111666666666667,0
0.145,-0.111666666666667,0
0.148333333333333,-0.111666666666667,0
0.151666666666667,-0.111666666666667,0
0.155,-0.111666666666667,0
0.158333333333333,-0.111666666666667,0
0.161666666666667,-0.111666666666667,0
0.165,-0.111666666666667,0
0.168333333333333,-0.111666666666667,0
0.171666666666667,-0.111666666666667,0
0.175,-0.111666666666667,0
0.178333333333333,-0.111666666666667,0
0.181666666666667,-0.111666666666667,0
0.185,-0.111666666666667,0
0.188333333333333,-0.111666666666667,0
0.191666666666667,-0.111666666666667,0
0.195,-0.111666666666667,0
0.198333333333333,-0.111666666666667,0
0.201666666666667,-0.111666666666667,0
0.205,-0.111666666666667,0
0.208333333333333,-0.111666666666667,0
0.211666666666667,-0.111666666666667,0
0.215,-0.111666666666667,0
0.218333333333333,-0.111666666666667,0
0.221666666666667,-0.111666666666667,0
0.225,-0.111666666666667,0
0.228333333333333,-0.111666666666667,0
0.231666666666667,-0.111666666666667,0
0.235,-0.111666666666667,0
0.238333333333333,-0.111666666666667,0
0.241666666666667,-0.111666666666667,0
0.245,-0.111666666666667,0
0.248333333333333,-0.111666666666667,0
0.251666666666667,-0.111666666666667,0
0.255,-0.111666666666667,0
0.258333333333333,-0.111666666666667,0
0.261666666666667,-0.111666666666667,0
0.265,-0.111666666666667,0
0.268333333333333,-0.111666666666667,0
0.271666666666667,-0.111666666666667,0
0.275,-0.111666666666667,0
0.278333333333333,-0.111666666666667,0
0.281666666666667,-0.111666666666667,0
0.285,-0.111666666666667,0
0.288333333333333,-0.111666666666667,0
0.291666666666667,-0.111666666666667,0
0.295,-0.111666666666667,0
0.298333333333333,-0.111666666666667,0
0.301666666666667,-0.111666666666667,0
0.305,-0.111666666666667,0
0.308333333333333,-0.111666666666667,0
0.311666666666667,-0.111666666666667,0
0.315,-0.111666666666667,0
0.318333333333333,-0.111666666666667,0
0.321666666666667,-0.111666666666667,0
0.325,-0.111666666666667,0
0.328333333333333,-0.111666666666667,0
0.331666666666667,-0.111666666666667,0
0.335,-0.111666666666667,0
0.338333333333333,-0.111666666666667,0
0.341666666666667,-0.111666666666667,0
0.345,-0.111666666666667,0
0.348333333333333,-0.111666666666667,0
0.351666666666667,-0.111666666666667,0
0.355,-0.111666666666667,0
0.358333333333333,-0.111666666666667,0
0.361666666666667,-0.111666666666667,0
0.365,-0.111666666666667,0
0.368333333333333,-0.111666666666667,0
0.371666666666667,-0.111666666666667,0
0.375,-0.111666666666667,0
0.378333333333333,-0.111666666666667,0
0.381666666666667,-0.111666666666667,0
0.385,-0.111666666666667,0
0.388333333333333,-0.111666666666667,0
0.391666666666667,-0.111666666666667,0
0.395,-0.111666666666667,0
0.398333333333333,-0.111666666666667,0
0.401666666666667,-0.111666666666667,0
0.405,-0.111666666666667,0
0.408333333333333,-0.111666666666667,0
0.411666666666667,-0.111666666666667,0
0.415,-0.111666666666667,0
0.418333333333333,-0.111666666666667,0
0.421666666666667,-0.111666666666667,0
0.425,-0.111666666666667,0
0.428333333333333,-0.111666666666667,0
0.431666666666667,-0.111666666666667,0
0.435,-0.111666666666667,0
0.438333333333333,-0.111666666666667,0
0.441666666666667,-0.111666666666667,0
0.445,-0.111666666666667,0
0.448333333333333,-0.111666666666667,0
0.451666666666667,-0.111666666666667,0
0.455,-0.111666666666667,0
0.458333333333333,-0.111666666666667,0
0.461666666666667,-0.111666666666667,0
0.465,-0.111666666666667,0
0.468333333333333,-0.111666666666667,0
0.471666666666667,-0.111666666666667,0
0.475,-0.111666666666667,0
0.478333333333333,-0.111666666666667,0
0.481666666666667,-0.111666666666667,0
0.485,-0.111666666666667,0
0.488333333333333,-0.111666666666667,0
0.491666666666667,-0.111666666666667,0
0.495,-0.111666666666667,0
0.498333333333333,-0.111666666666667,0
0.501666666666667,-0.111666666666667,0
0.505,-0.111666666666667,0
0.508333333333333,-0.111666666666667,0
0.511666666666667,-0.111666666666667,0
-0.508333333333333,-0.115,0
-0.505,-0.115,0
-0.501666666666667,-0.115,0
-0.498333333333333,-0.115,0
-0.495,-0.115,0
-0.491666666666667,-0.115,0
-0.488333333333333,-0.115,0
-0.485,-0.115,0
-0.481666666666667,-0.115,0
-0.478333333333333,-0.115,0
-0.475,-0.115,0
-0.471666666666667,-0.115,0
-0.468333333333333,-0.115,0
-0.465,-0.115,0
-0.461666666666667,-0.115,0
-0.458333333333333,-0.115,0
-0.455,-0.115,0
-0.451666666666667,-0.115,0
-0.448333333333333,-0.115,0
-0.445,-0.115,0
-0.441666666666667,-0.115,0
-0.438333333333333,-0.115,0
-0.435,-0.115,0
-0.431666666666667,-0.115,0
-0.428333333333333,-0.115,0
-0.425,-0.115,0
-0.421666666666667,-0.115,0
-0.418333333333333,-0.115,0
-0.415,-0.115,0
-0.411666666666667,-0.115,0
-0.408333333333333,-0.115,0
-0.405,-0.115,0
-0.401666666666667,-0.115,0
-0.398333333333333,-0.115,0
-0.395,-0.115,0
-0.391666666666667,-0.115,0
-0.388333333333333,-0.115,0
-0.385,-0.115,0
-0.381666666666667,-0.115,0
-0.378333333333333,-0.115,0
-0.375,-0.115,0
-0.371666666666667,-0.115,0
-0.368333333333333,-0.115,0
-0.365,-0.115,0
-0.361666666666667,-0.115,0
-0.358333333333333,-0.115,0
-0.355,-0.115,0
-0.351666666666667,-0.115,0
-0.348333333333333,-0.115,0
-0.345,-0.115,0
-0.341666666666667,-0.115,0
-0.338333333333333,-0.115,0
-0.335,-0.115,0
-0.331666666666667,-0.115,0
-0.328333333333333,-0.115,0
-0.325,-0.115,0
-0.321666666666667,-0.115,0
-0.318333333333333,-0.115,0
-0.315,-0.115,0
-0.311666666666667,-0.115,0
-0.308333333333333,-0.115,0
-0.305,-0.115,0
-0.301666666666667,-0.115,0
-0.298333333333333,-0.115,0
-0.295,-0.115,0
-0.291666666666667,-0.115,0
-0.288333333333333,-0.115,0
-0.285,-0.115,0
-0.281666666666667,-0.115,0
-0.278333333333333,-0.115,0
-0.275,-0.115,0
-0.271666666666667,-0.115,0
-0.268333333333333,-0.115,0
-0.265,-0.115,0
-0.261666666666667,-0.115,0
-0.258333333333333,-0.115,0
-0.255,-0.115,0
-0.251666666666667,-0.115,0
-0.248333333333333,-0.115,0
-0.245,-0.115,0
-0.241666666666667,-0.115,0
-0.238333333333333,-0.115,0
-0.235,-0.115,0
-0.231666666666667,-0.115,0
-0.228333333333333,-0.115,0
-0.225,-0.115,0
-0.221666666666667,-0.115,0
-0.218333333333333,-0.115,0
-0.215,-0.115,0
-0.211666666666667,-0.115,0
-0.208333333333333,-0.115,0
-0.205,-0.115,0
-0.201666666666667,-0.115,0
-0.198333333333333,-0.115,0
-0.195,-0.115,0
-0.191666666666667,-0.115,0
-0.188333333333333,-0.115,0
-0.185,-0.115,0
-0.181666666666667,-0.115,0
-0.178333333333333,-0.115,0
-0.175,-0.115,0
-0.171666666666667,-0.115,0
-0.168333333333333,-0.115,0
-0.165,-0.115,0
-0.161666666666667,-0.115,0
-0.158333333333333,-0.115,0
-0.155,-0.115,0
-0.151666666666667,-0.115,0
-0.148333333333333,-0.115,0
-0.145,-0.115,0
-0.141666666666667,-0.115,0
-0.138333333333333,-0.115,0
-0.135,-0.115,0
-0.131666666666667,-0.115,0
-0.128333333333333,-0.115,0
-0.125,-0.115,0
-0.121666666666667,-0.115,0
-0.118333333333333,-0.115,0
-0.115,-0.115,0
-0.111666666666667,-0.115,0
-0.108333333333333,-0.115,0
-0.105,-0.115,0
-0.101666666666667,-0.115,0
-0.0983333333333333,-0.115,0
-0.095,-0.115,0
-0.0916666666666667,-0.115,0
-0.0883333333333333,-0.115,0
-0.085,-0.115,0
-0.0816666666666667,-0.115,0
-0.0783333333333333,-0.115,0
-0.075,-0.115,0
-0.0716666666666667,-0.115,0
-0.0683333333333333,-0.115,0
-0.065,-0.115,0
-0.0616666666666667,-0.115,0
-0.0583333333333333,-0.115,0
-0.055,-0.115,0
-0.0516666666666667,-0.115,0
-0.0483333333333333,-0.115,0
-0.045,-0.115,0
-0.0416666666666667,-0.115,0
-0.0383333333333333,-0.115,0
-0.035,-0.115,0
